# Short Dark Triad (SD3),,,,,,,,,,
# Jones & Paulhus (2013) Introducing the Short Dark Triad (SD3): A Brief Measure of Dark Personality Traits. Assessment,,,,,,,,,,
# Instructions: Please indicate how much you agree with each of the following statements,,,,,,,,,,
# Note: The subscale headings should be removed before the SD3 is administered. Items should be kept in the same order. ,,,,,,,,,,
type,myPhase,mySD3subScale,mySD3itemID,mySD3reversed,head,body,responseType,responseOptions,required,pageBreak
form,SD3,Machiavellianism,Machiavellianism1,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">It's not wise to tell your secrets.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism2,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I like to use clever manipulation to get my way.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism3,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">Whatever it takes, you must get the important people on your side.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism4,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">Avoid direct conflict with others because they may be useful in the future.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism5,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">It's wise to keep track of information that you can use against people later.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism6,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">You should wait for the right time to get back at people.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism7,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">There are things you should hide from other people to preserve your reputation.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism8,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">Make sure your plans benefit yourself, not others.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Machiavellianism,Machiavellianism9,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">Most people can be manipulated.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism1,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">People see me as a natural leader.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism2,TRUE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I hate being the center of attention.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism3,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">Many group activities tend to be dull without me.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism4,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I know that I am special because everyone keeps telling me so.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism5,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I like to get acquainted with important people.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism6,TRUE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I feel embarrassed if someone compliments me.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism7,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I have been compared to famous people.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism8,TRUE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I am an average person.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Narcissism,Narcissism9,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I insist on getting the respect I deserve.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy1,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I like to get revenge on authorities.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy2,TRUE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I avoid dangerous situations.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy3,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">Payback needs to be quick and nasty.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy4,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">People often say I'm out of control.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy5,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">It's true that I can be mean to others.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy6,FALSE,How much do you agree with this statement?,"<p style=""font-size:x-large"">People who mess with me always regret it.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
form,SD3,Psychopathy,Psychopathy7,TRUE,How much do you agree with this statement?,"<p style=""font-size:x-large"">I have never gotten into trouble with the law.</p>",likert,Disagree strongly;Disagree;Neither agree nor disagree;Agree;Agree strongly,1,1
